date,EFH_electricity_bus_shortage_output1,EFH_pv_bus_excess_input1,EFH_hp_electricity_bus_shortage_output1,EFH_pv_to_EFH_electricity_link_input1,EFH_pv_to_EFH_electricity_link_output1,EFH_electricity_to_EFH_hp_electricity_bus_input1,EFH_electricity_to_EFH_hp_electricity_bus_output1,EFH_electricity_sink_input1,EFH_heat_sink_input1,EFH_battery_storage_input1,EFH_battery_storage_output1,EFH_battery_storage_capacity,EFH_thermal_storage_input1,EFH_thermal_storage_output1,EFH_thermal_storage_capacity,EFH_GCHP_transformer_input1,EFH_GCHP_transformer_input2,EFH_GCHP_transformer_output1,EFH_ASHP_transformer_input1,EFH_ASHP_transformer_input2,EFH_ASHP_transformer_output1,EFH_photovoltaic_electricity_source_output1
2011-12-02 16:00:00,0.584770186212809,0.0,0.08520081890069436,0.0,0.0,0.0,0.0,0.584770186212809,0.4947270069044993,0.0,0.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.08520081890069436,0.40952618800380497,0.4947270069044993,0.0
2011-12-02 17:00:00,0.6239959936336524,0.0,0.11247766842139943,0.0,0.0,0.0,0.0,0.6239959936336524,0.587561765919833,0.0,0.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.11247766842139943,0.4750840974984336,0.587561765919833,0.0
2011-12-02 18:00:00,0.7242510442884836,0.0,0.11716148498325006,0.0,0.0,0.0,0.0,0.7242510442884836,0.569934912942238,0.0,0.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.11716148498325006,0.4527734279589879,0.569934912942238,0.0
2011-12-02 19:00:00,0.8414190404806138,0.0,0.13004453507282487,0.0,0.0,0.0,0.0,0.8414190404806138,0.5993130012382295,0.0,0.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.13004453507282487,0.46926846616540463,0.5993130012382295,0.0
2011-12-02 20:00:00,0.8486019480732617,0.0,0.13976549449182857,0.0,0.0,0.0,0.0,0.8486019480732617,0.6192901012795039,0.0,0.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.13976549449182857,0.4795246067876753,0.6192901012795039,0.0
2011-12-02 21:00:00,0.8026007739160906,0.0,0.12303024275815594,0.0,0.0,0.0,0.0,0.8026007739160906,0.5311558363915289,0.0,0.0,10.0,0.0,0.0,18.0,0.12303024275815594,0.4081255936333729,0.5311558363915289,0.0,0.0,0.0,0.0
2011-12-02 22:00:00,0.736171614335857,0.0,0.0710417994687582,0.0,0.0,0.0,0.0,0.736171614335857,0.3067072418101528,0.0,0.0,10.0,0.0,0.0,18.0,0.0710417994687582,0.2356654423413946,0.3067072418101528,0.0,0.0,0.0,0.0
2011-12-02 23:00:00,0.5709647397049536,0.0,0.029396606676727537,0.0,0.0,0.0,0.0,0.5709647397049536,0.12691334143868394,0.0,0.0,10.0,0.0,0.0,18.0,0.029396606676727537,0.09751673476195641,0.12691334143868394,0.0,0.0,0.0,0.0
2011-12-03 00:00:00,0.29704634165056965,0.0,1.6555680883112731,0.0,0.0,0.0,0.0,0.29704634165056965,7.147548707830245,0.0,0.0,10.0,0.0,0.0,18.0,1.6555680883112731,5.491980619518972,7.147548707830245,0.0,0.0,0.0,0.0
2011-12-03 01:00:00,0.21981734937784392,0.0,1.649655345138733,0.0,0.0,0.0,0.0,0.21981734937784392,7.122021748159423,0.0,0.0,10.0,0.0,0.0,18.0,1.649655345138733,5.47236640302069,7.122021748159423,0.0,0.0,0.0,0.0
2011-12-03 02:00:00,0.20147801084342357,0.0,1.6910445473465145,0.0,0.0,0.0,0.0,0.20147801084342357,7.300710465855178,0.0,0.0,10.0,0.0,0.0,18.0,1.6910445473465145,5.6096659185086635,7.300710465855178,0.0,0.0,0.0,0.0
2011-12-03 03:00:00,1.9286137292655543,0.0,0.0,0.0,0.0,1.7324337495542965,1.7324337495542965,0.1961799797112577,7.479399183550934,0.0,0.0,10.0,0.0,0.0,18.0,1.7324337495542965,5.746965433996638,7.479399183550934,0.0,0.0,0.0,0.0
2011-12-03 04:00:00,0.1993384213477412,0.0,1.8329503834874812,0.0,0.0,0.0,0.0,0.1993384213477412,7.913357497954914,0.0,0.0,10.0,0.0,0.0,18.0,1.8329503834874812,6.080407114467433,7.913357497954914,0.0,0.0,0.0,0.0
