date,EFH_electricity_bus_shortage_output1,EFH_pv_bus_excess_input1,EFH_hp_electricity_bus_shortage_output1,EFH_pv_to_EFH_electricity_link_input1,EFH_pv_to_EFH_electricity_link_output1,EFH_battery_storage_input1,EFH_battery_storage_output1,EFH_battery_storage_capacity,EFH_thermal_storage_input1,EFH_thermal_storage_output1,EFH_thermal_storage_capacity,EFH_electricity_to_EFH_hp_electricity_bus_input1,EFH_electricity_to_EFH_hp_electricity_bus_output1,EFH_electricity_sink_input1,EFH_heat_sink_input1,EFH_GCHP_transformer_input1,EFH_GCHP_transformer_input2,EFH_GCHP_transformer_output1,EFH_ASHP_transformer_input1,EFH_ASHP_transformer_input2,EFH_ASHP_transformer_output1,EFH_photovoltaic_electricity_source_output1
2011-12-03 08:00:00,0.0,0.0,2.0714981,1.6122593,1.6122593,0.0,0.0,1.0,0.0,0.0,2.0,0.93217545,0.93217545,0.6800838039847547,12.967695512777729,3.0036735,9.964022,12.967696,0.0,0.0,-0.0,1.6122593
2011-12-03 09:00:00,0.0,0.0,0.62209942,2.8673831,2.8673831,0.0,0.0,1.0,0.0,0.0,2.0,2.2396683,2.2396683,0.6277148039475765,12.355048480677995,2.8617677,9.4932808,12.355048,0.0,0.0,-0.0,2.8673831
2011-12-03 10:00:00,0.0,0.0,0.0,3.4449895,3.4449895,0.06217073,0.0,1.0621707,0.0,0.0,2.0,2.7908148,2.7908148,0.592004036412497,12.048724964628127,2.7908148,9.2579102,12.048725,0.0,0.0,-0.0,3.4449895
2011-12-03 11:00:00,0.0,0.0,0.0,3.7220136,3.7220136,0.52947918,0.0,1.5916499,0.0,0.0,2.0,2.5897815,2.5897815,0.6027529264979489,11.180808335820167,2.5897815,8.5910268,11.180808,0.0,0.0,-0.0,3.7220136
2011-12-03 12:00:00,0.0,0.0,0.0,3.6569547,3.6569547,0.48408074,0.0,2.0757307,0.0,0.0,2.0,2.5070031,2.5070031,0.665870816620579,10.823430900428656,2.5070031,8.3164278,10.823431,0.0,0.0,-0.0,3.6569547
2011-12-03 13:00:00,0.0,0.0,0.0,3.2062788,3.2062788,0.05139444,0.0,2.1271251,0.0,0.0,2.0,2.4951776,2.4951776,0.6597067611687322,10.772376981087012,2.4951776,8.2771994,10.772377,0.0,0.0,-0.0,3.2062788
2011-12-03 14:00:00,0.0,0.0,0.46637639,1.4941034,1.4941034,0.0,1.1045826,1.0,0.0,0.0,2.0,2.011063,2.011063,0.5876229722070521,10.695796102074546,2.4774394,8.2183567,10.695796,0.0,0.0,-0.0,1.4941034
2011-12-03 15:00:00,0.53398041,0.0,2.6075197,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.5339804069938726,11.257389214832635,2.6075197,8.6498695,11.257389,0.0,0.0,-0.0,0.0
2011-12-03 16:00:00,0.53596717,0.0,2.8262912,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.5359671686684347,12.201886722653061,2.8262912,9.3755955,12.201887,0.0,0.0,-0.0,0.0
2011-12-03 17:00:00,0.65547852,0.0,2.8913314,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.6554785247844075,12.482683279032106,2.8913314,9.5913519,12.482683,0.0,0.0,-0.0,0.0
2011-12-03 18:00:00,0.84661519,0.0,2.8262912,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.8466151863986995,12.201886722653061,2.8262912,9.3755955,12.201887,0.0,0.0,-0.0,0.0
2011-12-03 19:00:00,0.95303429,0.0,2.808553,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.9530342925053776,12.125305843640595,2.808553,9.3167528,12.125306,0.0,0.0,-0.0,0.0
